Week,Quarter,Store, Total , CHRISTMAS , CLEARANCE , CLEARENCE , CONFECTIONERY , DIY , ELECTRICAL , FOOD , FROZEN FOOD , DD Gardening , GARDENING , GIFTWARES , Grocery Seasonal , DD Paint , H&B Gift , HEALTH & BEAUTY , HOMEWARES , HOUSEHOLD TEXTILES , INDOOR FURNITURE , INTERNAL USE , PAPER GOODS & CLEANING , PET FOOD , SOFT DRINKS , STATIONERY , TEXTILES , TOYS , NON ALCOHOLIC DRINKS 
31,3, Homesavers Limerick ,"€61,536.23", € -   ,€0.47, € -   ,"€6,140.36","€2,741.65","€5,633.85","€6,997.97", € -   ,€216.26,"€2,792.36","€3,017.04",€8.00,€158.43,"€1,125.43","€4,085.80","€6,033.07","€1,890.54","€3,009.60", € -   ,"€6,501.14","€2,395.61","€3,076.44","€1,635.02",€194.84,"€3,882.35", € -   
31,3, Homesavers Longford U4 ,"€10,828.81", € -   ,€1.00, € -   ,€726.43,€185.69,"€1,403.77",€805.30, € -   , € -   ,€165.07,€688.47,€1.75, € -   ,€293.80,€437.81,€930.83,€690.58,€533.15, € -   ,"€1,028.15",€422.51,"€1,478.94",€158.07,€51.33,€826.16, € -   
31,3, Homesavers Midleton ,"€17,689.66", € -   , € -   , € -   ,"€2,179.77",€454.54,"€1,263.91","€1,692.98", € -   ,€58.62,€560.49,€834.05,€57.88, € -   ,€284.50,"€1,307.70","€1,199.30",€883.02,€163.75, € -   ,"€1,230.00",€881.65,€948.09,€452.68,€300.64,"€2,936.09", € -   
31,3, Homesavers Milford Retail Park ,"€32,684.96", € -   , € -   , € -   ,"€2,400.91","€1,708.06","€1,471.95","€3,164.28", € -   ,"€1,612.29","€1,331.34","€1,768.60",€18.09,€152.55,€522.30,"€2,034.55","€2,771.19","€1,527.19","€1,915.62", € -   ,"€2,509.84","€1,929.37","€1,650.40","€1,334.62",€392.27,"€2,464.71",€4.83
31,3, Homesavers Monaghan ,"€52,055.73",€6.59, € -   , € -   ,"€2,988.23","€2,407.99","€4,031.39","€4,504.56", € -   ,€153.80,"€1,114.86","€3,046.80",€79.22,€377.07,€789.39,"€3,358.62","€5,568.03","€3,059.01","€3,000.49", € -   ,"€4,850.13","€1,520.48","€2,749.63","€1,450.17",€390.31,"€6,608.96", € -   
31,3, Homesavers Mountmellick LAOIS ,"€6,703.52", € -   , € -   , € -   ,€976.69,€119.65,€485.74,€830.15, € -   , € -   ,€85.16,€505.72,€1.90, € -   ,€47.10,€478.94,€341.32,€99.73,€98.77, € -   ,€824.64,€301.68,€788.44,€171.82,€16.95,€529.12, € -   
31,3, Homesavers Mullingar ,"€58,441.99",€2.01,€5.70, € -   ,"€4,931.20",€780.65,"€4,644.87","€5,215.22", € -   ,€345.02,"€3,006.26","€2,634.13",€80.48,€11.99,€885.72,"€3,877.53","€8,245.24","€1,376.02","€1,855.21", € -   ,"€7,727.34","€2,162.37","€4,198.48","€1,573.14",€235.98,"€4,624.29",€23.14
31,3, Homesavers Martyr Road Nenagh (a) ,"€27,482.90", € -   ,€0.50, € -   ,"€2,156.81", € -   ,"€5,085.17","€2,863.25", € -   , € -   , € -   ,€690.60,€34.22, € -   ,€696.24,"€2,998.97",€241.09, € -   , € -   , € -   ,"€3,190.22","€3,508.80","€1,722.54",€681.34,€290.22,"€3,322.93", € -   
31,3, HOMESAVERS MARTYR ROAD NENAGH (B) ,"€18,247.66", € -   , € -   , € -   , € -   ,"€2,292.70",€380.51, € -   , € -   ,"€1,909.46","€2,359.71","€2,178.97", € -   ,€118.23, € -   , € -   ,"€3,108.20","€2,988.86","€2,671.24", € -   ,€5.88,€117.99, € -   , € -   , € -   ,€115.91, € -   
31,3, Homesavers New Road Portlaoise ,"€21,481.23",€120.55, € -   , € -   ,"€2,152.13",€362.88,"€1,348.30","€3,008.34", € -   ,€6.08,€636.15,€682.72,€26.58,€14.98,€533.44,"€1,779.82","€1,833.25",€696.69,€400.96, € -   ,"€3,231.56",€869.67,"€1,710.66",€839.47,€162.36,"€1,064.64", € -   
